M3R;Pharyngeal neuron - motor (also possibly proprioceptive sensory)
M4;Pharyngeal neuron (Motor neuron)
M5;Pharyngeal neuron (Motor)
MCL;Pharyngeal neuron (Motor neuron, putative sensory)
MCR;Pharyngeal neuron (Motor neuron, putative sensory)
MI;Pharyngeal neuron (motor), Interneuron
NSML;otor neuron. Possibly also proprioceptive/mechanosensory.
NSMR;otor neuron. Possibly also proprioceptive/mechanosensory.
OLLL;Sensory neuron
OLLR;Sensory neuron
OLQDL;All polymodal: [Sensory neuron (Mechanosensory) Interneuron]
OLQDR;All polymodal: [Sensory neuron (Mechanosensory) Interneuron]
OLQVL;All polymodal: [Sensory neuron (Mechanosensory) Interneuron]
OLQVR;All polymodal: [Sensory neuron (Mechanosensory) Interneuron]
PDA;Sensory - motor neuron
PDB;Motor neuron
PDEL;Sensory neuron
PDER;Sensory neuron
PHAL;Sensory neuron (Chemosensory)
PHAR;Sensory neuron (Chemosensory)
PHBL;Sensory neuron (Chemosensory)
PHBR;Sensory neuron (Chemosensory)
PHCL;Sensory neuron (Mechanosensory?)
PHCR;Sensory neuron (Mechanosensory?)
PLML;Sensory neuron (Mechanosensory)
PLMR;Sensory neuron (Mechanosensory)
PLNL;Neuron (Interneuron?)
PLNR;Neuron (Interneuron?)
PQR;Putative mechanosensory neuron
PVCL;Ventral cord interneuron
PVCR;Ventral cord interneuron
PVDL;Sensory neuron (Mechanosensory)
PVDR;Sensory neuron (Mechanosensory)
PVM;Sensory neuron (Mechanosensory)
PVNL;Interneuron/motorneuron
PVNR;Interneuron/motorneuron
PVPL;Interneuron
PVPR;Interneuron
PVQL;Interneuron
PVQR;Interneuron
PVR;Interneuron
PVT;Interneuron
PVWL;Interneuron
PVWR;Interneuron
RIAL;Interneuron
RIAR;Interneuron
RIBL;Interneuron
RIBR;Interneuron
RICL;Interneuron
RICR;Interneuron
RID;Interneuron
RIFL;Interneuron
RIFR;Interneuron
RIGL;Interneuron
RIGR;Interneuron
RIH;Interneuron
RIML;Ring motor neuron
RIMR;Ring motor neuron
RIPL;Ring/Pharynx interneuron
RIPR;Ring/Pharynx interneuron
RIR;Ring interneuron
RIS;Interneuron
RIVL;Polymodal (interneuron/motor neuron)
RIVR;Polymodal (interneuron/motor neuron)
RMDDL;Ring motor neuron
RMDDR;Ring motor neuron
RMDL;Ring motor neuron
RMDR;Ring motor neuron
RMDVL;Ring motor neuron
RMDVR;Ring motor neuron
RMED;Motor neuron
RMEL;Motor neuron
RMER;Motor neuron
RMEV;Motor neuron
RMFL;Motor neuron
RMFR;Motor neuron
RMGL;Interneuron
RMGR;Interneuron
RMHL;Motor neuron
RMHR;Motor neuron
SAADL;Interneuron
SAADR;Interneuron
SAAVL;Interneuron
SAAVR;Interneuron
SABD;Interneuron
SABVL;Interneuron
SABVR;Interneuron
SDQL;Interneuron
SDQR;Interneuron
SIADL;Interneuron
SIADR;Interneuron
SIAVL;Interneuron
SIAVR;Interneuron
SIBDL;Interneuron
SIBDR;Interneuron
SIBVL;Interneuron
SIBVR;Interneuron
SMBDL;Motor neuron/interneuron
SMBDR;Motor neuron/interneuron
SMBVL;Motor neuron/interneuron
SMBVR;Motor neuron/interneuron
SMDDL;Motor neuron/interneuron
SMDDR;Motor neuron/interneuron
SMDVL;Motor neuron/interneuron
SMDVR;Motor neuron/interneuron
URADL;Motor neuron
URADR;Motor neuron
URAVL;Motor neuron
URAVR;Motor neuron
URBL;Interneuron
URBR;Interneuron
URXL;Sensory neuron (oxygen sensor), also ring interneuron
URXR;Sensory neuron (oxygen sensor), also ring interneuron
URYDL;Sensory neuron
URYDR;Sensory neuron
URYVL;Sensory neuron
URYVR;Sensory neuron
VA1;Motor neuron
VA10;Motor neuron
VA11;Motor neuron
VA12;Motor neuron
VA2;Motor neuron
VA3;Motor neuron
VA4;Motor neuron
VA5;Motor neuron
VA6;Motor neuron
VA7;Motor neuron
VA8;Motor neuron
VA9;Motor neuron
VB1;Motor neuron
VB10;Motor neuron
VB11;Motor neuron
VB2;Motor neuron
VB3;Motor neuron
VB4;Motor neuron
VB5;Motor neuron
VB6;Motor neuron
VB7;Motor neuron
VB8;Motor neuron
VB9;Motor neuron
VC1;Motor neuron (Hermaphrodite specific)
VC2;Motor neuron (Hermaphrodite specific)
VC3;Motor neuron (Hermaphrodite specific)
VC4;Motor neuron (Hermaphrodite specific)
VC5;Motor neuron (Hermaphrodite specific)
VC6;Motor neuron (Hermaphrodite specific)
VD1;Motor neuron
VD10;Motor neuron
VD11;Motor neuron
VD12;Motor neuron
VD13;Motor neuron
VD2;Motor neuron
VD3;Motor neuron
VD4;Motor neuron
VD5;Motor neuron
VD6;Motor neuron
VD7;Motor neuron
VD8;Motor neuron
VD9;Motor neuron
;
