"Label","Id","Umlscui","Created","ModifiedDate","Synonym","Definition","ExampleImage","Abbrev","CurationStatus","Curator","Comment","EditorialNote","PublicationLink","DefiningCitation","Is part of","RelatedTo","Has role","SuperCategory","Title","Authors","PublicationDate","PublicationName","JournalVolume","JournalNumber","Pages","Figure","Table","RetrievedOn","PMID","DOI","ISBN","PublicationLink (NIF)","Seperator1","CellSomaShape","CellSomaSize","Located in","Polarity","DendriteLocation","NumberOfPrimaryDendrites","SpineDensityOnDendrites","DendriteThickness","BranchingMetrics","AxonLength","OriginOfAxon","LocationOfAxonArborization","CellularSynapticTarget","SubcellularSynapticTarget","Neurotransmitter","DefiningCriteria (PETILLA)","MolecularConstituents","LacksMolecularConstituents","PassiveSubthresholdParameters","FiringPatterns","SpikingFeatures","SynapticPhysiology","DendritePartonomy","ApicalPartonomy","ApicalObliqueLocation","ApicalTrunkLocation","ApicalLocation","BasalLocation","ProximalLocation","DistalLocation","AxonPartonomy","AxonLocation","AxonTerminalLocation","DendriteShape","DendriteSize","ApicalSize","BasalSize","SomaOrientation","DendriteOrientation","AxonOrientation","SomaUltrastructure","DendriteUltrastructure","ApicalUltrastructure","BasalUltrastructure","ProximalUltrastructure","DistalUltrastructure","AxonUltrastructure","Organism (PETILLA)","Species","AxonShape"
"AS8","","","","","","Ventral cord motor neurons, born postembryonically. Innervate dorsal muscles, no ventral counterpart, similar to VAn but receive additional synaptic input from AVB. Note that unlike AS1-10, the commissure of AS11 originates from the posterior process. All AS commissures to DC run from the right side of the body. Hermaphrodites and males exhibit some differences in ASn connectivity.","","","","","","","","","","","Motor neuron","OpenWorm 2013 Parcel","","","","","","","","","","","","","","","","","","Body (ventral nerve cord)","","","","","","","","","","","","Acetylcholine. Rand and Nonet, 1997. NLP-21; neuropeptide-like peptide
 (Loer, 2010; von Stetina et al, 2007; Rand and Nonet, 1997).","","Innexin Expression: - INX-3
- UNC-7
(Altun et al., 2009; Starich et al., 2009)   Receptor Expression: - ACR-14; nonalpha subunit of a nicotinic acetylcholine receptor
- ACR-15; alpha subunit of a nicotinic acetylcholine receptor
- LGC-46; ligand-gated ion channel
- UNC-63; alpha subunit of a levamisole-sensitive nicotinic acetylcholine receptor
 (Wormbase; Altun, 2011; von Stetina et al, 2007; Fox et al, 2005).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Caenorhabditis_elegans",""
"AS9","","","","","","Ventral cord motor neurons, born postembryonically. Innervate dorsal muscles, no ventral counterpart, similar to VAn but receive additional synaptic input from AVB. Note that unlike AS1-10, the commissure of AS11 originates from the posterior process. All AS commissures to DC run from the right side of the body. Hermaphrodites and males exhibit some differences in ASn connectivity.","","","","","","","","","","","Motor neuron","OpenWorm 2013 Parcel","","","","","","","","","","","","","","","","","","Body (ventral nerve cord)","","","","","","","","","","","","Acetylcholine. Rand and Nonet, 1997. NLP-21; neuropeptide-like peptide
 (Loer, 2010; von Stetina et al, 2007; Rand and Nonet, 1997).","","Innexin Expression: - INX-3
- UNC-7
(Altun et al., 2009; Starich et al., 2009)   Receptor Expression: - ACR-14; nonalpha subunit of a nicotinic acetylcholine receptor
- ACR-15; alpha subunit of a nicotinic acetylcholine receptor
- LGC-46; ligand-gated ion channel
- UNC-63; alpha subunit of a levamisole-sensitive nicotinic acetylcholine receptor
 (Wormbase; Altun, 2011; von Stetina et al, 2007; Fox et al, 2005).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Caenorhabditis_elegans",""
"AS10","","","","","","Ventral cord motor neurons, born postembryonically. Innervate dorsal muscles, no ventral counterpart, similar to VAn but receive additional synaptic input from AVB. Note that unlike AS1-10, the commissure of AS11 originates from the posterior process. All AS commissures to DC run from the right side of the body. Hermaphrodites and males exhibit some differences in ASn connectivity.","","","","","","","","","","","Motor neuron","OpenWorm 2013 Parcel","","","","","","","","","","","","","","","","","","Body (ventral nerve cord)","","","","","","","","","","","","Acetylcholine. Rand and Nonet, 1997. NLP-21; neuropeptide-like peptide
 (Loer, 2010; von Stetina et al, 2007; Rand and Nonet, 1997).","","Innexin Expression: - INX-3
- UNC-7
(Altun et al., 2009; Starich et al., 2009)   Receptor Expression: - ACR-14; nonalpha subunit of a nicotinic acetylcholine receptor
- ACR-15; alpha subunit of a nicotinic acetylcholine receptor
- LGC-46; ligand-gated ion channel
- UNC-63; alpha subunit of a levamisole-sensitive nicotinic acetylcholine receptor
 (Wormbase; Altun, 2011; von Stetina et al, 2007; Fox et al, 2005).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Caenorhabditis_elegans",""
"AS11","","","","","","Ventral cord motor neurons, born postembryonically. Innervate dorsal muscles, no ventral counterpart, similar to VAn but receive additional synaptic input from AVB. Note that unlike AS1-10, the commissure of AS11 originates from the posterior process. All AS commissures to DC run from the right side of the body. Hermaphrodites and males exhibit some differences in ASn connectivity.","","","","","","","","","","","Motor neuron","OpenWorm 2013 Parcel","","","","","","","","","","","","","","","","","","Body (ventral nerve cord)","","","","","","","","","","","","Acetylcholine. Rand and Nonet, 1997. NLP-21; neuropeptide-like peptide
 (Loer, 2010; von Stetina et al, 2007; Rand and Nonet, 1997).","","Innexin Expression: - INX-3
- UNC-7
(Altun et al., 2009; Starich et al., 2009)   Receptor Expression: - ACR-14; nonalpha subunit of a nicotinic acetylcholine receptor
- ACR-15; alpha subunit of a nicotinic acetylcholine receptor
- LGC-46; ligand-gated ion channel
- UNC-63; alpha subunit of a levamisole-sensitive nicotinic acetylcholine receptor
 (Wormbase; Altun, 2011; von Stetina et al, 2007; Fox et al, 2005).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Caenorhabditis_elegans",""
"ASEL","","","","","","Amphid neurons, single ciliated endings, project into ring via commissure from
 ventral ganglion, make diverse synaptic connections in ring neuropil.","","","","","- Involved in chemotaxis to cAMP, biotin, Cl-, Na+ and lysine; ASEL is primarily sensitive to Na+ , whereas ASER is primarily sensitive to Cl- and K+ (Pierce-Shimomura et al., 2001; Bargmann and Horvitz, 1991; ). Opposite intacellular Ca++ transients are suggested to be generated in ASEL and ASER in response to changes in NaCl concentrations (Suzuki et al., 2004). 
- ASH, ADL, ASK and ASE sensory neurons are responsible for the detection of certain chemical repellents. ASH plays a major role in this avoidance, whereas ADL, ASK and ASE play minor roles that are only evident when ASH is missing (Hiliard et al., 2002; Sambongi et al., 1999; Bargmann et al, 1990.) Mediate avoidance behavior from Cd2+ and Cu2+ (Sambongi et al., 1999)
 - Functions in adaptive food-leaving behavior (leaving a food patch as it is becoming depleted to start foraging); the ASE neurons promote food-leaving behavior via a cGMP pathway as food becomes limited; in well-fed animals ASE neurons mediate chemoattraction to water-soluble cues as noted above. However, food withdrawal or gradual depletion of food turns this attraction to salt into repulsion. This switch in preference involves signaling by the DAF-2 insulin receptor in ASER as well as INS-1-dependent feedback from AIA to ASER (Milward et al., 2011; Tomioka et al., 2006)","","","","","","Sensory neuron","OpenWorm 2013 Parcel","","","","","","","","","","","","","","","","","","Lateral ganglia of head","","","","","","","","","","","","Express neuropeptide-like proteins, NLP-3, NLP-7, NLP-14 (Nathoo et al., 2001). Express the FMRFamide-related neuropeptide (FaRP), FLP-21 (Rogers et al., 2003).","","Innexin Expression:    Receptor Expression: ASEL expresses orphan receptor (chemosensory/odorant?) guanylyl cyclases GCY-6 and GCY-7 and ASER expresses GCY-5 (Yu et al., 1997). Express mammalian capsaicin receptor-like protein OSM-9 (Colbert et al., 1997). Express neuropeptide Y receptor like protein, NPR-1 (Coates and de Bono , 2002).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Caenorhabditis_elegans",""
"ASER","","","","","","Amphid neurons, single ciliated endings, project into ring via commissure from
 ventral ganglion, make diverse synaptic connections in ring neuropil.","","","","","- Involved in chemotaxis to cAMP, biotin, Cl-, Na+ and lysine; ASEL is primarily sensitive to Na+ , whereas ASER is primarily sensitive to Cl- and K+ (Pierce-Shimomura et al., 2001; Bargmann and Horvitz, 1991; ). Opposite intacellular Ca++ transients are suggested to be generated in ASEL and ASER in response to changes in NaCl concentrations (Suzuki et al., 2004). 
- ASH, ADL, ASK and ASE sensory neurons are responsible for the detection of certain chemical repellents. ASH plays a major role in this avoidance, whereas ADL, ASK and ASE play minor roles that are only evident when ASH is missing (Hiliard et al., 2002; Sambongi et al., 1999; Bargmann et al, 1990.) Mediate avoidance behavior from Cd2+ and Cu2+ (Sambongi et al., 1999)
 - Functions in adaptive food-leaving behavior (leaving a food patch as it is becoming depleted to start foraging); the ASE neurons promote food-leaving behavior via a cGMP pathway as food becomes limited; in well-fed animals ASE neurons mediate chemoattraction to water-soluble cues as noted above. However, food withdrawal or gradual depletion of food turns this attraction to salt into repulsion. This switch in preference involves signaling by the DAF-2 insulin receptor in ASER as well as INS-1-dependent feedback from AIA to ASER (Milward et al., 2011; Tomioka et al., 2006)","","","","","","Sensory neuron","OpenWorm 2013 Parcel","","","","","","","","","","","","","","","","","","Lateral ganglia of head","","","","","","","","","","","","Express neuropeptide-like proteins, NLP-3, NLP-7, NLP-14 (Nathoo et al., 2001). Express the FMRFamide-related neuropeptide (FaRP), FLP-21 (Rogers et al., 2003).","","Innexin Expression:    Receptor Expression: ASEL expresses orphan receptor (chemosensory/odorant?) guanylyl cyclases GCY-6 and GCY-7 and ASER expresses GCY-5 (Yu et al., 1997). Express mammalian capsaicin receptor-like protein OSM-9 (Colbert et al., 1997). Express neuropeptide Y receptor like protein, NPR-1 (Coates and de Bono , 2002).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Caenorhabditis_elegans",""
"ASGL","","","","","","Amphid neurons, single ciliated endings, project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil.","","","","","Involved in chemotaxis to lysine, contribute to a residual chemotactic response to cAMP, biotin, Cl-, and Na+ after ASE is killed (Bargmann and Horvitz, 1991). Controls entry into dauer stage (Bargmann and Horvitz, 1991).","","","","","","Sensory neuron","OpenWorm 2013 Parcel","","","","","","","","","","","","","","","","","","Lateral ganglia of head","","","","","","","","","","","","","","Innexin Expression:    Receptor Expression: Express mammalian capsaicin receptor-like protein OSM-9 (Colbert et al., 1997). Express neuropeptide Y receptor like protein, NPR-1 (Coates and de Bono , 2002).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Caenorhabditis_elegans",""
"ASGR","","","","","","Amphid neurons, single ciliated endings, project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil.","","","","","Involved in chemotaxis to lysine, contribute to a residual chemotactic response to cAMP, biotin, Cl-, and Na+ after ASE is killed (Bargmann and Horvitz, 1991). Controls entry into dauer stage (Bargmann and Horvitz, 1991).","","","","","","Sensory neuron","OpenWorm 2013 Parcel","","","","","","","","","","","","","","","","","","Lateral ganglia of head","","","","","","","","","","","","","","Innexin Expression:    Receptor Expression: Express mammalian capsaicin receptor-like protein OSM-9 (Colbert et al., 1997). Express neuropeptide Y receptor like protein, NPR-1 (Coates and de Bono , 2002).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Caenorhabditis_elegans",""
"ASHL","","","","","","Amphid neurons, single ciliated endings, project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil. Also take up FITC.","","","","","- ASH plays a major role in avoidance responses to nose touch, hyperosmolarity (note: a mutation in the glr-1 (glutamate receptor subunit) gene which acts in synaptic targets of the ASH neurons, eliminates the response to nose touch but not to osmotic repellents), volatile repellent chemicals (1-octanol), heavy metals (Cd++ and Cu++), detergents/SDS, protons, alkaloids such as quinine (ASH is the main sensory neuron responsible for quinine detection and ASK plays a minor role) (de Bono & Villu Maricq, 2005; Bargmann, 2006; Hilliard et al, 2004; Hiliard et al., 2002; Hart et al., 1999; Sambongi et al., 2000; Sambongi et al., 1999; Troemel et al., 1995; Bargmann et al, 1990; Culotti & Russell 1978.)
 - ASH and ADL are proposed to mediate social feeding behavior in response to repulsive cues (ablation of ASH and ADL abolishes social feeding behavior transforming social animals to solitary feeders) (de Bono M. et al., 2002.)","","","","","","Sensory neuron","OpenWorm 2013 Parcel","","","","","","","","","","","","","","","","","","Lateral ganglia of head","","","","","","","","","","","","Glutamate. (Lee et al., 1999). Express neuropeptide-like proteins, NLP-3 and NLP-15 (Nathoo et al., 2001). Express the FMRFamide-related neuropeptide (FaRP), FLP-21 (Rogers et al., 2003).","","Innexin Expression:    Receptor Expression: - OSM-9; TRPV (transient receptor potential channel, vanilloid subfamily; mammalian capsaicin receptor-like channel)-cation selective channel. Express TRPV channel proteins OSM-9 (Colbert et al., 1997) and OCR-2 (Tobin et al., 2002; de Bono M. et al., 2002). Express G protein-coupled serpentine receptors, SRA-6, SRB-6 (Troemel et al., 1995). Express neuropeptide Y receptor like protein, NPR-1 which mediates social feeding behavior (Coates and de Bono , 2002). Express UNC-8, a DEG/ENaC family member homologous to subunits of a candidate mechanically gated ion channel (Tavernarakis et al., 1997).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Caenorhabditis_elegans",""
"ASHR","","","","","","Amphid neurons, single ciliated endings, project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil. Also take up FITC.","","","","","- ASH plays a major role in avoidance responses to nose touch, hyperosmolarity (note: a mutation in the glr-1 (glutamate receptor subunit) gene which acts in synaptic targets of the ASH neurons, eliminates the response to nose touch but not to osmotic repellents), volatile repellent chemicals (1-octanol), heavy metals (Cd++ and Cu++), detergents/SDS, protons, alkaloids such as quinine (ASH is the main sensory neuron responsible for quinine detection and ASK plays a minor role) (de Bono & Villu Maricq, 2005; Bargmann, 2006; Hilliard et al, 2004; Hiliard et al., 2002; Hart et al., 1999; Sambongi et al., 2000; Sambongi et al., 1999; Troemel et al., 1995; Bargmann et al, 1990; Culotti & Russell 1978.)
 - ASH and ADL are proposed to mediate social feeding behavior in response to repulsive cues (ablation of ASH and ADL abolishes social feeding behavior transforming social animals to solitary feeders) (de Bono M. et al., 2002.)","","","","","","Sensory neuron","OpenWorm 2013 Parcel","","","","","","","","","","","","","","","","","","Lateral ganglia of head","","","","","","","","","","","","Glutamate. (Lee et al., 1999). Express neuropeptide-like proteins, NLP-3 and NLP-15 (Nathoo et al., 2001). Express the FMRFamide-related neuropeptide (FaRP), FLP-21 (Rogers et al., 2003).","","Innexin Expression:    Receptor Expression: - OSM-9; TRPV (transient receptor potential channel, vanilloid subfamily; mammalian capsaicin receptor-like channel)-cation selective channel. Express TRPV channel proteins OSM-9 (Colbert et al., 1997) and OCR-2 (Tobin et al., 2002; de Bono M. et al., 2002). Express G protein-coupled serpentine receptors, SRA-6, SRB-6 (Troemel et al., 1995). Express neuropeptide Y receptor like protein, NPR-1 which mediates social feeding behavior (Coates and de Bono , 2002). Express UNC-8, a DEG/ENaC family member homologous to subunits of a candidate mechanically gated ion channel (Tavernarakis et al., 1997).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Caenorhabditis_elegans",""
"ASIL","","","","","","Amphid neurons, single ciliated endings, project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil. Also take up FITC.","","","","","Gustatory sensory neurons. The main synpatic output of ASI is on to AIA interneuron.
 - Involved in chemotaxis to lysine, contribute to a residual chemotactic response to cAMP, biotin, Cl-, and Na+ after ASE is killed (Bargmann and Horvitz, 1991). 
- Controls entry into dauer stage (Bargmann and Horvitz, 1991).
 - Functions in locomotion: Suppresses omega turns and reversals enhancing dispersal (Gray et al., 2005). After animals are removed from bacterial food, they initiate a local search behavior consisting of reversals and deep omega-shaped turns. This is followed by dispersal ~30 min later as reversal and turns are suppressed. Local search behavior is triggered by AWC olfactory neurons, ASK gustatory neurons, and AIB interneurons while dispersal is promoted by ASI gustatory neurons and AIY interneurons (Gray et al., 2005).
 - Thermosensor: After cultivation at a uniform temperature (Tc) with sufficient food, animals preferentially migrate to their cultivation temperature (Tc) when placed on a thermal gradient, and move isothermally at this temperature (Hedgecock and Russell 1975). Animals sense and record their Tc by AFD (major thermosensory), AWC and ASI neurons (Beverly et al, 2011; Kuhara et al., 2008; Biron et al., 2008). This Tc memory is plastic and can be reset upon cultivation at a different temperature (Hedgecock and Russell 1975). Unlike AFD neurons, which respond to thermal stimuli above Tc with continuous, graded calcium signals in a deterministic and highly reproducible way, ASI neurons exhibit temperature-induced stochastic Ca++ transients in a defined operating range with decreased responses close to or far from Tc (Beverly et al, 2011).
 - Repression of pheromone (sexual) attraction in hermaphrodites. daf-7 mutation or ablation of the ASI neuron pair, which is the sole source of DAF-7/TGF-β inC. elegans, reveals sexual attraction (male-specific behavior) in hermaphrodites (White and Jorgensen, 2012).","","","","","","Sensory neuron","OpenWorm 2013 Parcel","","","","","","","","","","","","","","","","","","Lateral ganglia of head","","","","","","","","","","","","Express neuropeptide-like proteins, NLP-1, NLP-5, NLP-6, NLP-7, NLP-9, NLP-14, NLP-18, NLP-24, NLP-27 (Nathoo et al., 2001).","","Innexin Expression:    Receptor Expression: Express G protein-coupled serpentine receptors, SRD-1, STR-2, STR-3 (Peckol et al.. 2001). Express transmembrane guanylyl cyclase DAF-11 (Birnby et al., 2000).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Caenorhabditis_elegans",""
"ASIR","","","","","","Amphid neurons, single ciliated endings, project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil. Also take up FITC.","","","","","Gustatory sensory neurons. The main synpatic output of ASI is on to AIA interneuron.
 - Involved in chemotaxis to lysine, contribute to a residual chemotactic response to cAMP, biotin, Cl-, and Na+ after ASE is killed (Bargmann and Horvitz, 1991). 
- Controls entry into dauer stage (Bargmann and Horvitz, 1991).
 - Functions in locomotion: Suppresses omega turns and reversals enhancing dispersal (Gray et al., 2005). After animals are removed from bacterial food, they initiate a local search behavior consisting of reversals and deep omega-shaped turns. This is followed by dispersal ~30 min later as reversal and turns are suppressed. Local search behavior is triggered by AWC olfactory neurons, ASK gustatory neurons, and AIB interneurons while dispersal is promoted by ASI gustatory neurons and AIY interneurons (Gray et al., 2005).
 - Thermosensor: After cultivation at a uniform temperature (Tc) with sufficient food, animals preferentially migrate to their cultivation temperature (Tc) when placed on a thermal gradient, and move isothermally at this temperature (Hedgecock and Russell 1975). Animals sense and record their Tc by AFD (major thermosensory), AWC and ASI neurons (Beverly et al, 2011; Kuhara et al., 2008; Biron et al., 2008). This Tc memory is plastic and can be reset upon cultivation at a different temperature (Hedgecock and Russell 1975). Unlike AFD neurons, which respond to thermal stimuli above Tc with continuous, graded calcium signals in a deterministic and highly reproducible way, ASI neurons exhibit temperature-induced stochastic Ca++ transients in a defined operating range with decreased responses close to or far from Tc (Beverly et al, 2011).
 - Repression of pheromone (sexual) attraction in hermaphrodites. daf-7 mutation or ablation of the ASI neuron pair, which is the sole source of DAF-7/TGF-β inC. elegans, reveals sexual attraction (male-specific behavior) in hermaphrodites (White and Jorgensen, 2012).","","","","","","Sensory neuron","OpenWorm 2013 Parcel","","","","","","","","","","","","","","","","","","Lateral ganglia of head","","","","","","","","","","","","Express neuropeptide-like proteins, NLP-1, NLP-5, NLP-6, NLP-7, NLP-9, NLP-14, NLP-18, NLP-24, NLP-27 (Nathoo et al., 2001).","","Innexin Expression:    Receptor Expression: Express G protein-coupled serpentine receptors, SRD-1, STR-2, STR-3 (Peckol et al.. 2001). Express transmembrane guanylyl cyclase DAF-11 (Birnby et al., 2000).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Caenorhabditis_elegans",""
"ASJL","","","","","","Amphid neurons, single ciliated endings, project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil. Also take up FITC.","","","","","Controls exit from dauer stage (Bargmann and Horvitz, 1991).","","","","","","Sensory neuron","OpenWorm 2013 Parcel","","","","","","","","","","","","","","","","","","Lateral ganglia of head","","","","","","","","","","","","Express neuropeptide-like protein NLP-3 (Nathoo et al., 2001).","","Innexin Expression:    Receptor Expression: Express mammalian capsaicin receptor-like protein OSM-9 (Colbert et al., 1997). Express G protein-coupled serpentine receptors, SRE-1 (Troemel et al., 1995). Express transmembrane guanylyl cyclase DAF-11 (Birnby et al., 2000).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Caenorhabditis_elegans",""
"ASJR","","","","","","Amphid neurons, single ciliated endings, project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil. Also take up FITC.","","","","","Controls exit from dauer stage (Bargmann and Horvitz, 1991).","","","","","","Sensory neuron","OpenWorm 2013 Parcel","","","","","","","","","","","","","","","","","","Lateral ganglia of head","","","","","","","","","","","","Express neuropeptide-like protein NLP-3 (Nathoo et al., 2001).","","Innexin Expression:    Receptor Expression: Express mammalian capsaicin receptor-like protein OSM-9 (Colbert et al., 1997). Express G protein-coupled serpentine receptors, SRE-1 (Troemel et al., 1995). Express transmembrane guanylyl cyclase DAF-11 (Birnby et al., 2000).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Caenorhabditis_elegans",""
"ASKL","","","","","","Amphid neurons, single ciliated endings, project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil. Also take up FITC.","","","","","- Involved in chemotaxis to lysine (Bargmann and Horvitz, 1991). 
- ASH, ADL, ASK and ASE sensory neurons are responsible for the detection of certain chemical repellents. ASH plays a major role in this avoidance, whereas ADL, ASK and ASE play minor roles that are only evident when ASH is missing (Hiliard et al., 2002; Sambongi et al., 1999; Bargmann et al, 1990.) Mediate avoidance behavior from protons, detergents, alkaloids such as quinine -ASH is the main sensory neuron responsible for quinine detection while ASK plays a minor role (Hilliard et al, 2004).
 - After animals are removed from bacterial food, they initiate a local search behavior consisting of reversals and deep omega-shaped turns. This is followed by dispersal ~30 min later, as reversals and turns are suppressed. Local search behavior is triggered by AWC olfactory neurons, ASK gustatory neurons, and AIB interneurons while dispersal is promoted by ASI gustatory neurons and AIY interneurons (Gray et al., 2005).
 - One of the three core sensory neurons (AWA, AWC, ASK) that are required for sexual-attraction in males (White and Jorgensen, 2012).","","","","","","Sensory neuron","OpenWorm 2013 Parcel","","","","","","","","","","","","","","","","","","Lateral ganglia of head","","","","","","","","","","","","Glutamate. Expresses VGluT, EAT-4 (Lee et al., 1999). Express neuropeptide-like proteins, NLP-8, NLP-10, NLP-14 (Nathoo et al., 2001).","","Innexin Expression:    Receptor Expression: - OSM-9; TRPV (transient receptor potential channel, vanilloid subfamily; mammalian capsaicin receptor-like channel)-cation selective channel
 (Colbert et al., 1997).
- Express G protein-coupled serpentine receptors, SRA-7, SRA-9, SRG-2, SRG-8 (Troemel et al., 1995).
 Express transmembrane guanylyl cyclase DAF-11 (Birnby et al., 2000).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Caenorhabditis_elegans",""
"ASKR","","","","","","Amphid neurons, single ciliated endings, project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil. Also take up FITC.","","","","","- Involved in chemotaxis to lysine (Bargmann and Horvitz, 1991). 
- ASH, ADL, ASK and ASE sensory neurons are responsible for the detection of certain chemical repellents. ASH plays a major role in this avoidance, whereas ADL, ASK and ASE play minor roles that are only evident when ASH is missing (Hiliard et al., 2002; Sambongi et al., 1999; Bargmann et al, 1990.) Mediate avoidance behavior from protons, detergents, alkaloids such as quinine -ASH is the main sensory neuron responsible for quinine detection while ASK plays a minor role (Hilliard et al, 2004).
 - After animals are removed from bacterial food, they initiate a local search behavior consisting of reversals and deep omega-shaped turns. This is followed by dispersal ~30 min later, as reversals and turns are suppressed. Local search behavior is triggered by AWC olfactory neurons, ASK gustatory neurons, and AIB interneurons while dispersal is promoted by ASI gustatory neurons and AIY interneurons (Gray et al., 2005).
 - One of the three core sensory neurons (AWA, AWC, ASK) that are required for sexual-attraction in males (White and Jorgensen, 2012).","","","","","","Sensory neuron","OpenWorm 2013 Parcel","","","","","","","","","","","","","","","","","","Lateral ganglia of head","","","","","","","","","","","","Glutamate. Expresses VGluT, EAT-4 (Lee et al., 1999). Express neuropeptide-like proteins, NLP-8, NLP-10, NLP-14 (Nathoo et al., 2001).","","Innexin Expression:    Receptor Expression: - OSM-9; TRPV (transient receptor potential channel, vanilloid subfamily; mammalian capsaicin receptor-like channel)-cation selective channel
 (Colbert et al., 1997).
- Express G protein-coupled serpentine receptors, SRA-7, SRA-9, SRG-2, SRG-8 (Troemel et al., 1995).
 Express transmembrane guanylyl cyclase DAF-11 (Birnby et al., 2000).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Caenorhabditis_elegans",""
"AUAL","","","","","","Neuron, process runs with amphid processes but lacks ciliated ending","","","","","Regulate social feeding behavior along with AQR, PQR and URX neurons (Coates and de Bono, 2002).","","","","","","Interneuron","OpenWorm 2013 Parcel","","","","","","","","","","","","","","","","","","Lateral ganglia of head","","","","","","","","","","","","Glutamate. Expresses VGluT, EAT-4 (Lee et al., 1999).","","Innexin Expression:    Receptor Expression: Express glutamate receptor subunit, GLR-4 (Brockie et al., 2001). Express neuropeptide Y receptor like protein, NPR-1 which mediates social feeding behavior (Coates and de Bono , 2002). Express a splice variant of the tyramine receptor SER-2 (Tsalik et al., 2003). Possibly express the dopamine receptor DOP-1 (Sanyal et al., 2004).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Caenorhabditis_elegans",""
"AUAR","","","","","","Neuron, process runs with amphid processes but lacks ciliated ending","","","","","Regulate social feeding behavior along with AQR, PQR and URX neurons (Coates and de Bono, 2002).","","","","","","Interneuron","OpenWorm 2013 Parcel","","","","","","","","","","","","","","","","","","Lateral ganglia of head","","","","","","","","","","","","Glutamate. Expresses VGluT, EAT-4 (Lee et al., 1999).","","Innexin Expression:    Receptor Expression: Express glutamate receptor subunit, GLR-4 (Brockie et al., 2001). Express neuropeptide Y receptor like protein, NPR-1 which mediates social feeding behavior (Coates and de Bono , 2002). Express a splice variant of the tyramine receptor SER-2 (Tsalik et al., 2003). Possibly express the dopamine receptor DOP-1 (Sanyal et al., 2004).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Caenorhabditis_elegans",""
"AVAL","","","","","","Ventral cord interneuron","","","","","Command interneuron. Functions as driver cell for backward locomotion. Drives backward movement of the animal along with touch modulator AVD neuron, AVE and A-type motor neurons.","","","","","","Interneuron","OpenWorm 2013 Parcel","","","","","","","","","","","","","","","","","","Lateral ganglia of head","","","","","","","","","","","","FMRFamide (FLP-1). Express FMRFamide-like peptide, FLP-1 precursor (Nelson et al., 1998). Express the FMRFamide-related neuropeptide (FaRP), FLP-18 (Rogers et al., 2003).","","Innexin Expression:    Receptor Expression: Express glutamate receptor subunits, GLR-1, GLR-2, GLR-4, GLR-5, NMR-1 and NMR-2 (Maricq et al., 1995; Brockie et al., 2001). Suggested to express GABA-A/glycine receptor-like protein GGR-3 (Fujiwara et al., 1996). Express UNC-8, a DEG/ENaC family member homologous to subunits of a candidate mechanically gated ion channel (Tavernarakis et al., 1997).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Caenorhabditis_elegans",""
